PDB_ID,Resolution,Year,pKi_or_pKd,Measurement,Is_Ki
3gqz,1.80,2009,2.17,Ki=6.7mM,True
5z5f,2.10,2018,2.17,Ki=6.8mM,True
3l7d,2.00,2010,2.18,Ki=6.55mM,True
4amx,2.10,2013,2.19,Ki=6.5mM,True
1icj,1.90,1999,2.22,Ki=6mM,True
1m0n,2.20,2002,2.22,Ki=6.0mM,True
1ajp,2.31,1997,2.23,Ki=5.85mM,True
3i3b,2.20,2010,2.23,Ki=5.9mM,True
1rdl,1.70,1996,2.24,Ki=5.7mM,True
1ew8,2.20,2002,2.26,Ki=5.5mM,True
5v6u,2.80,2017,2.26,Ki=5470uM,True
4mfe,2.61,2013,2.27,Ki=5.4mM,True
1ps3,1.80,2003,2.28,Ki=5.2mM,True
3ip8,1.50,2009,2.28,Ki=5.2mM,True
2hdu,1.49,2006,2.30,Ki=5mM,True
3dyo,1.80,2008,2.30,Ki=5.0mM,True
3kgq,1.70,2010,2.30,Ki=5mM,True
3mhw,1.45,2010,2.30,Ki=5.03mM,True
3pcg,1.96,1998,2.30,Ki=5mM,True
3rv4,1.98,2011,2.30,Ki=5mM,True
4jsz,1.90,2013,2.30,Ki=5000uM,True
1m0o,2.40,2002,2.31,Ki=4.9mM,True
4y0a,1.91,2015,2.31,Ki=4950uM,True
1z6d,1.54,2005,2.34,Ki=4.6mM,True
4iie,2.00,2013,2.34,Ki=4.6mM,True
1qi0,2.10,2000,2.35,Ki=4.5mM,True
3gtc,1.90,2009,2.35,Ki=4.5mM,True
3g2z,1.50,2009,2.36,Ki=4.4mM,True
3t0d,1.93,2012,2.37,Ki=4.3mM,True
6md8,1.40,2019,2.38,Ki=4200uM,True
1f73,1.95,2000,2.39,Ki=4.1mM,True
1nwl,2.40,2003,2.39,Ki=4.1mM,True
3dxg,1.39,2009,2.40,Ki=4.0mM,True
3l7b,2.00,2010,2.40,Ki=4.01mM,True
3pcb,2.19,1998,2.40,Ki=4mM,True
1t4s,2.80,2004,2.44,Ki=3.6mM,True
2i2b,2.10,2007,2.44,Ki=3.6mM,True
3l7c,1.93,2010,2.44,Ki=3.67mM,True
3mjl,1.90,2010,2.44,Ki=3.6mM,True
2aez,3.05,2006,2.46,Ki=3.5mM,True
3l79,1.86,2010,2.46,Ki=3.46mM,True
4x8u,2.10,2015,2.46,Ki=3.5mM,True
1gyx,1.35,2002,2.48,Ki=3.3mM,True
4ej2,2.65,2012,2.49,Ki=3204uM,True
4kz7,1.43,2014,2.49,Ki=3.2mM,True
1ai4,2.35,1997,2.50,Ki=3.13mM,True
3g30,1.80,2009,2.51,Ki=3.1mM,True
3gr2,1.80,2009,2.52,Ki=3mM,True
3mfv,1.90,2010,2.52,Ki=3000uM,True
3vdb,2.05,2012,2.52,Ki=3.03mM,True
1iup,1.60,2002,2.54,Ki=2.9mM,True
3b3s,1.18,2007,2.55,Ki=2800uM,True
3kgp,2.35,2009,2.57,Ki=2.68mM,True
5v4q,2.20,2017,2.57,Ki=2.7mM,True
3gvb,1.80,2009,2.59,Ki=2.6mM,True
4o3a,1.80,2014,2.59,Ki=2.57mM,True
4o3c,1.50,2014,2.59,Ki=2.57mM,True
4wef,2.50,2015,2.59,Ki=2577uM,True
2c4v,2.50,2006,2.60,Ki=2.5mM,True
6mia,1.40,2019,2.60,Ki=2540uM,True
3fk1,1.70,2009,2.62,Ki=2420uM,True
5foo,2.10,2016,2.62,Ki=2.4mM,True
1ajn,2.36,1997,2.63,Ki=2.32mM,True
1g5f,1.80,2001,2.64,Ki=2.31mM,True
4q7w,1.45,2015,2.64,Ki=2300uM,True
4q8y,1.45,2015,2.64,Ki=2300uM,True
4ufl,2.40,2015,2.64,Ki=2.3mM,True
3lvw,2.50,2010,2.67,Ki=2.12mM,True
1o8b,1.25,2003,2.68,Ki=2.1mM,True
1ylv,2.15,2000,2.70,Ki=2.0mM,True
2fzc,2.10,2006,2.70,Ki=1990uM,True
3gsg,2.10,2009,2.70,Ki=2mM,True
3sl0,2.00,2011,2.70,Ki=2mM,True
4h4b,2.90,2012,2.70,Ki=2.0mM,True
4wks,1.63,2014,2.70,Ki=2mM,True
6nmb,2.30,2019,2.70,Ki=2.01mM,True
2rkd,1.90,2008,2.72,Ki=1.9mM,True
3p4r,3.05,2010,2.72,Ki=1.9mM,True
1dg9,1.90,1999,2.74,Ki=1.8mM,True
2qwb,2.00,1998,2.74,Ki=1820uM,True
4m6u,1.80,2014,2.74,Ki=1.8mM,True
1rql,2.40,2004,2.75,Ki=1.79mM,True
1ny2,2.30,2003,2.76,Ki=1.75mM,True
4bt5,1.10,2013,2.76,Ki=1.72mM,True
2bet,2.20,2004,2.77,Ki=1.7mM,True
3fcq,1.75,2009,2.77,Ki=1.7mM,True
4kz3,1.67,2014,2.77,Ki=1.7mM,True
4ykk,1.38,2015,2.77,Ki=1.7mM,True
2yiv,1.28,2012,2.78,Ki=1.66mM,True
2bza,1.90,1999,2.80,Ki=1.58mM,True
4kz8,2.28,2014,2.80,Ki=1.6mM,True
3djx,1.69,2009,2.81,Ki=1557.9uM,True
4oyt,2.40,2014,2.81,Ki=1.55mM,True
3moh,2.10,2010,2.84,Ki=1460uM,True
4mlt,2.00,2014,2.85,Ki=1.4mM,True
5th4,1.47,2017,2.85,Ki=1420uM,True
5z1c,1.45,2018,2.86,Ki=1.38mM,True
5thj,1.50,2017,2.87,Ki=1350uM,True
1e34,1.80,2000,2.88,Ki=1.32mM,True
2woq,1.75,2009,2.88,Ki=1.33mM,True
1cet,2.05,1999,2.89,Ki=1.3mM,True
1iih,2.20,2001,2.89,Ki=1.3mM,True
1ugp,1.63,2004,2.89,Ki=1.3mM,True
2wpb,2.05,2010,2.89,Ki=1.3mM,True
2wtx,2.20,2010,2.89,Ki=1.3mM,True
3g31,1.70,2009,2.89,Ki=1.3mM,True
4cd8,1.47,2014,2.89,Ki=1.3mM,True
4gqq,1.35,2012,2.89,Ki=1.3mM,True
4kzb,1.37,2014,2.89,Ki=1.3mM,True
4llx,1.75,2014,2.89,Ki=1300uM,True
6mvu,1.49,2018,2.89,Ki=1290uM,True
3c2u,1.30,2008,2.90,Ki=1.25mM,True
1ms0,2.50,2003,2.91,Ki=1.23mM,True
2pri,2.30,1998,2.91,Ki=1.23mM,True
1h2k,2.15,2002,2.92,Ki=1.2mM,True
1p6e,2.30,2003,2.92,Ki=1.21mM,True
3iaf,2.80,2010,2.92,Ki=1.2mM,True
3k8c,2.10,2010,2.92,Ki=1.2mM,True
4lm3,1.49,2014,2.92,Ki=1200uM,True
1tng,1.80,1994,2.93,Ki=1.17mM,True
1p6d,2.00,2003,2.94,Ki=1.15mM,True
1f4e,1.90,2000,2.96,Ki=1.1mM,True
2br6,1.70,2005,2.96,Ki=1.10mM,True
3g34,1.31,2009,2.96,Ki=1.1mM,True
4owm,1.99,2014,2.96,Ki=1090uM,True
2hw2,1.45,2007,2.97,Ki=1.07mM,True
3djq,1.53,2009,2.98,Ki=1046.4uM,True
3ump,1.85,2012,2.99,Ki=1026uM,True
4bps,1.08,2013,2.99,Ki=1.02mM,True
1ecq,2.00,2000,3.00,Ki=1.0mM,True
1hqg,2.00,2001,3.00,Ki=1.0mM,True
1mcz,2.80,2003,3.00,Ki=1mM,True
2rka,1.95,2008,3.00,Ki=1mM,True
3grj,2.49,2009,3.00,Ki=1mM,True
4llk,1.55,2014,3.00,Ki=990uM,True
4r3w,1.91,2014,3.00,Ki=1.0mM,True
1g42,1.80,2001,3.01,Ki=0.97mM,True
3dc2,2.70,2008,3.02,Ki=950uM,True
4q81,1.55,2015,3.02,Ki=950uM,True
4lm2,1.55,2014,3.03,Ki=940uM,True
1rtf,2.30,1997,3.04,Ki=910uM,True
3t08,2.00,2012,3.04,Ki=0.91mM,True
4lm4,1.48,2014,3.04,Ki=910uM,True
1f74,1.60,2000,3.05,Ki=0.9mM,True
1gvk,0.94,2002,3.05,Ki=0.89mM,True
1uj5,2.00,2004,3.05,Ki=0.89mM,True
1uj6,1.74,2004,3.05,Ki=0.89mM,True
5abe,2.00,2015,3.05,Ki=890uM,True
2jfh,1.97,2007,3.06,Ki=870uM,True
2ksa,NMR,2010,3.06,Ki=871uM,True
1rnm,2.00,1996,3.07,Ki=844.2uM,True
1s26,3.00,2004,3.07,Ki=0.85mM,True
3mof,1.75,2010,3.07,Ki=860uM,True
1y1z,1.50,2005,3.08,Ki=0.831mM,True
1mdl,1.85,1996,3.09,Ki=810uM,True
1af2,2.30,1997,3.10,Ki=0.8mM,True
1ec9,2.00,2000,3.10,Ki=0.8mM,True
1pu7,1.93,2003,3.10,Ki=0.8mM,True
1pu8,2.13,2003,3.10,Ki=0.8mM,True
4kz6,1.68,2014,3.10,Ki=0.8mM,True
4y64,1.60,2015,3.10,Ki=790uM,True
5cr7,2.90,2016,3.10,Ki=0.79mM,True
2lwi,NMR,2013,3.11,Ki=773uM,True
1h9l,1.67,2001,3.12,Ki=0.76mM,True
2ksb,NMR,2010,3.12,Ki=754uM,True
4bt3,1.10,2013,3.12,Ki=0.76mM,True
6d1k,1.20,2019,3.13,Ki=741.3uM,True
2ya7,1.89,2011,3.14,Ki=0.72mM,True
1e6q,1.35,2001,3.15,Ki=0.7mM,True
1noi,2.50,1996,3.15,Ki=700uM,True
1noj,2.40,1996,3.15,Ki=700uM,True
1nok,2.40,1996,3.15,Ki=700uM,True
4hnc,1.89,2013,3.17,Ki=0.67mM,True
4x3i,1.80,2015,3.17,Ki=671uM,True
1ro7,1.80,2004,3.18,Ki=657uM,True
3at1,2.80,1990,3.18,Ki=0.66mM,True
3kid,2.71,2009,3.18,Ki=656uM,True
1o6i,1.70,2003,3.19,Ki=0.65mM,True
3dxh,1.40,2009,3.19,Ki=0.65mM,True
3g1v,1.30,2009,3.19,Ki=645uM,True
4mlx,1.65,2014,3.19,Ki=0.65mM,True
6tim,2.20,1992,3.21,Ki=0.61mM,True
1br6,2.30,1998,3.22,Ki=0.6mM,True
1e6s,1.35,2000,3.22,Ki=0.6mM,True
1e72,1.60,2001,3.22,Ki=0.6mM,True
1ew9,2.00,2002,3.22,Ki=0.6mM,True
1k1y,2.40,2003,3.22,Ki=0.6mM,True
1qwu,2.03,2003,3.22,Ki=0.6mM,True
1x6u,2.70,2005,3.22,Ki=0.6mM,True
2ri9,1.95,2008,3.22,Ki=0.6mM,True
2uy3,1.90,2007,3.22,Ki=600uM,True
5ou2,1.45,2018,3.22,Ki=609uM,True
1px4,1.60,2004,3.23,Ki=0.59mM,True
2gmk,1.65,2006,3.23,Ki=590uM,True
4lm1,1.60,2014,3.23,Ki=590uM,True
3qfz,2.39,2011,3.24,Ki=570uM,True
4qlk,1.83,2015,3.24,Ki=0.57mM,True
1v2j,1.90,2004,3.25,Ki=566uM,True
4lm0,1.66,2014,3.25,Ki=560uM,True
4wkt,1.78,2014,3.26,Ki=0.55mM,True
5yas,2.20,1999,3.26,Ki=0.55mM,True
1axr,2.30,1998,3.27,Ki=540uM,True
1g9t,2.80,2002,3.28,Ki=526uM,True
3d52,1.60,2008,3.28,Ki=520uM,True
3tfu,1.94,2011,3.28,Ki=520uM,True
6ibk,1.99,2019,3.29,Ki=509uM,True
1phw,2.36,2004,3.30,Ki=0.5mM,True
1tpw,1.90,1995,3.30,Ki=0.5mM,True
2uxx,2.74,2007,3.30,Ki=500uM,True
2vw2,1.70,2008,3.30,Ki=0.5mM,True
3aaq,2.00,2010,3.30,Ki=0.5mM,True
3l7g,2.70,2010,3.30,Ki=0.5mM,True
4jss,1.50,2013,3.30,Ki=500uM,True
4mrw,1.96,2014,3.30,Ki=500uM,True
4msa,1.62,2014,3.30,Ki=500uM,True
1i2s,1.70,2002,3.31,Ki=490uM,True
1pzp,1.45,2004,3.31,Ki=490uM,True
1pzo,1.90,2004,3.32,Ki=480uM,True
2wk6,2.50,2009,3.32,Ki=0.48mM,True
5tg4,1.44,2017,3.32,Ki=475uM,True
6efj,1.65,2019,3.32,Ki=477uM,True
6mey,1.42,2019,3.32,Ki=479uM,True
2pnc,2.40,2008,3.33,Ki=466uM,True
2xoi,1.72,2011,3.34,Ki=0.46mM,True
4bt4,1.60,2013,3.34,Ki=0.46mM,True
3pwk,1.50,2012,3.35,Ki=0.45mM,True
4joh,1.47,2014,3.35,Ki=450uM,True
4lkq,1.62,2014,3.35,Ki=450uM,True
5wxp,1.75,2018,3.35,Ki=443uM,True
2vc7,2.05,2008,3.36,Ki=432.7uM,True
1tnh,1.80,1994,3.37,Ki=0.43mM,True
1v2u,1.80,2004,3.37,Ki=427uM,True
1v2v,1.80,2004,3.37,Ki=427uM,True
3d8z,1.98,2009,3.37,Ki=423uM,True
6mnv,1.65,2019,3.37,Ki=428uM,True
2fzg,2.25,2006,3.38,Ki=420uM,True
4qll,1.85,2015,3.38,Ki=0.42mM,True
2j9h,2.40,2006,3.39,Ki=410uM,True
4lhm,1.52,2014,3.39,Ki=0.41mM,True
4ms0,1.79,2014,3.39,Ki=410uM,True
1bxr,2.10,1999,3.40,Ki=0.4mM,True
1f8d,1.40,2001,3.40,Ki=400uM,True
1jt1,1.78,2003,3.40,Ki=400uM,True
1uz4,1.71,2004,3.40,Ki=400uM,True
3d8y,1.72,2009,3.40,Ki=396uM,True
2v2c,1.89,2008,3.41,Ki=0.39mM,True
3nba,2.68,2010,3.41,Ki=388uM,True
4yas,2.00,1999,3.41,Ki=0.39mM,True
6m7i,1.70,2019,3.41,Ki=386uM,True
2sim,1.60,1994,3.42,Ki=0.38mM,True
4c71,1.80,2013,3.42,Ki=384.0uM,True
4llj,1.56,2014,3.42,Ki=380uM,True
4mi9,1.85,2014,3.42,Ki=376.87uM,True
4n8q,2.08,2014,3.42,Ki=380uM,True
1kti,1.97,2002,3.43,Ki=370uM,True
2c57,3.10,2006,3.43,Ki=370uM,True
2xog,1.72,2011,3.43,Ki=0.37mM,True
4umc,2.34,2014,3.44,Ki=360uM,True
6exs,2.50,2018,3.44,Ki=362uM,True
4c6z,1.80,2013,3.45,Ki=357.0uM,True
1moq,1.57,1998,3.46,Ki=0.35mM,True
3blu,2.00,2008,3.46,Ki=0.35mM,True
3muz,1.90,2011,3.46,Ki=0.35mM,True
4k5p,1.85,2013,3.46,Ki=345uM,True
6hgr,1.52,2019,3.46,Ki=350uM,True
4h42,2.01,2013,3.47,Ki=341uM,True
1tsi,2.84,1994,3.48,Ki=0.33mM,True
2f10,2.90,2006,3.48,Ki=0.33mM,True
3g1d,1.50,2009,3.48,Ki=330uM,True
3nyd,1.23,2011,3.48,Ki=330uM,True
1c5o,1.90,2000,3.49,Ki=320uM,True
6d9x,1.83,2018,3.49,Ki=323uM,True
4n3w,1.90,2014,3.50,Ki=315uM,True
4lpf,2.30,2013,3.51,Ki=310uM,True
5m4q,1.73,2017,3.51,Ki=0.31mM,True
5mby,1.55,2017,3.51,Ki=0.31mM,True
1jys,1.90,2002,3.52,Ki=300uM,True
2j27,1.15,2007,3.52,Ki=0.3mM,True
2vw1,2.39,2008,3.52,Ki=0.3mM,True
3c14,2.68,2009,3.52,Ki=300uM,True
3mfw,1.47,2010,3.52,Ki=300uM,True
4c70,1.75,2013,3.52,Ki=305uM,True
4eky,2.45,2012,3.52,Ki=303.0uM,True
4mrz,1.58,2014,3.52,Ki=300uM,True
3blt,2.20,2009,3.54,Ki=0.29mM,True
3bm8,2.70,2008,3.54,Ki=0.29mM,True
1v2r,1.70,2004,3.55,Ki=278.96uM,True
2hwg,2.70,2006,3.55,Ki=0.28mM,True
2qwc,1.60,1998,3.55,Ki=280uM,True
2xah,3.10,2010,3.55,Ki=284uM,True
3pjg,2.70,2011,3.55,Ki=283uM,True
3qvu,2.50,2011,3.55,Ki=283uM,True
4mjr,1.62,2013,3.55,Ki=283uM,True
4n98,1.70,2013,3.55,Ki=280uM,True
2lsp,NMR,2012,3.56,Ki=274uM,True
4joe,1.14,2014,3.56,Ki=275uM,True
1h46,1.52,2003,3.57,Ki=270uM,True
1np0,2.50,2003,3.57,Ki=270uM,True
3ff3,1.37,2009,3.57,Ki=270uM,True
4q8x,1.55,2015,3.57,Ki=270uM,True
3dx1,1.21,2009,3.58,Ki=265uM,True
4y63,1.30,2015,3.58,Ki=261uM,True
2gsu,2.00,2006,3.59,Ki=260uM,True
4cd6,1.64,2014,3.59,Ki=0.26mM,True
4q7v,1.60,2015,3.59,Ki=260uM,True
6dpz,1.50,2018,3.59,Ki=259uM,True
1bo5,3.20,1999,3.60,Ki=0.25mM,True
1d1p,2.20,2000,3.60,Ki=0.25mM,True
1qw7,1.90,2004,3.60,Ki=0.25mM,True
1uys,2.80,2004,3.60,Ki=0.25mM,True
1w31,1.90,2005,3.60,Ki=0.25mM,True
2bgr,2.00,2005,3.60,Ki=250uM,True
2fzk,2.50,2006,3.60,Ki=250uM,True
3b3x,2.50,2007,3.60,Ki=250uM,True
3g0i,2.10,2009,3.60,Ki=250uM,True
3jdw,2.40,1998,3.60,Ki=253uM,True
3t2p,2.60,2012,3.60,Ki=0.25mM,True
1g9s,2.80,2002,3.61,Ki=247uM,True
2vfz,2.40,2007,3.61,Ki=245uM,True
5c91,2.44,2015,3.61,Ki=245.8uM,True
5thi,1.50,2017,3.61,Ki=245uM,True
1pb9,1.60,2003,3.62,Ki=241uM,True
3pcc,1.98,1998,3.62,Ki=240uM,True
3st6,1.75,2012,3.62,Ki=240uM,True
6mll,1.86,2019,3.62,Ki=239uM,True
4mm7,2.85,2013,3.63,Ki=235.5uM,True
1gyy,1.35,2002,3.64,Ki=230uM,True
2azr,2.00,2005,3.64,Ki=230uM,True
2rk8,2.00,2008,3.64,Ki=230uM,True
5yum,2.43,2018,3.65,Ki=223uM,True
6gg5,3.20,2018,3.65,Ki=222uM,True
3ex6,1.30,2009,3.66,Ki=220uM,True
3t2q,2.40,2012,3.66,Ki=0.22mM,True
3tsd,2.65,2011,3.66,Ki=218uM,True
5nzn,1.73,2018,3.66,Ki=220000nM,True
4n99,2.30,2013,3.67,Ki=216uM,True
6mlh,1.65,2019,3.67,Ki=213uM,True
1c3x,2.40,1999,3.68,Ki=210uM,True
2za3,2.65,2007,3.68,Ki=210uM,True
3uwl,2.07,2012,3.68,Ki=208uM,True
4isu,2.30,2013,3.68,Ki=0.21mM,True
5wxo,1.64,2018,3.68,Ki=207uM,True
3d7b,1.60,2009,3.69,Ki=203uM,True
4ovg,1.90,2014,3.69,Ki=204uM,True
6gg4,2.46,2018,3.69,Ki=205uM,True
1e37,1.75,2000,3.70,Ki=0.20mM,True
1gz3,2.30,2003,3.70,Ki=0.20mM,True
1gz4,2.20,2002,3.70,Ki=0.2mM,True
1h0r,2.10,2003,3.70,Ki=200uM,True
1i43,3.10,2001,3.70,Ki=200uM,True
1loq,1.50,2002,3.70,Ki=0.2mM,True
1pdz,2.20,1995,3.70,Ki=0.2mM,True
1wht,2.00,1994,3.70,Ki=0.2mM,True
2bvr,1.25,2006,3.70,Ki=200uM,True
2fx6,1.57,2006,3.70,Ki=200uM,True
3n7a,2.00,2011,3.70,Ki=200uM,True
4ayt,2.85,2012,3.70,Ki=0.2mM,True
4ayx,2.90,2012,3.70,Ki=0.2mM,True
4kza,1.60,2014,3.70,Ki=0.2mM,True
5j41,1.19,2016,3.70,Ki=199uM,True
3g32,1.31,2009,3.71,Ki=0.194mM,True
4k5m,1.75,2013,3.71,Ki=193uM,True
4mjq,1.73,2013,3.71,Ki=193uM,True
6mnp,2.20,2019,3.71,Ki=195uM,True
1ai5,2.36,1997,3.72,Ki=0.189mM,True
1grp,2.50,1996,3.72,Ki=0.189mM,True
2am4,1.70,2006,3.72,Ki=190uM,True
3f5l,1.37,2009,3.72,Ki=0.191mM,True
4jog,1.47,2014,3.72,Ki=190uM,True
4tln,2.30,1982,3.72,Ki=190uM,True
4ufm,2.40,2015,3.72,Ki=190uM,True
6d1h,1.25,2019,3.72,Ki=190.2uM,True
6g46,2.40,2018,3.73,Ki=185uM,True
1f5k,1.80,2001,3.74,Ki=180uM,True
1ihy,3.00,2002,3.74,Ki=0.18mM,True
6mlw,1.90,2019,3.74,Ki=184uM,True
2iyf,1.70,2007,3.75,Ki=177.3uM,True
2pyi,1.88,2008,3.75,Ki=179uM,True
3d6p,1.60,2009,3.75,Ki=179uM,True
3gep,2.60,2009,3.75,Ki=176.8uM,True
2x09,2.40,2010,3.76,Ki=175uM,True
3d6q,1.60,2009,3.76,Ki=172uM,True
4c6x,1.95,2013,3.76,Ki=175.4uM,True
1kui,1.50,2002,3.77,Ki=0.169mM,True
1mpl,1.12,2003,3.77,Ki=0.17mM,True
2v2h,1.18,2008,3.77,Ki=0.17mM,True
2xaj,3.30,2010,3.77,Ki=168uM,True
3hav,2.45,2009,3.77,Ki=170uM,True
6euc,2.22,2018,3.77,Ki=168uM,True
6ewk,2.22,2018,3.77,Ki=168uM,True
6hgs,1.55,2019,3.77,Ki=170uM,True
1kug,1.37,2002,3.80,Ki=0.160mM,True
2hb1,2.00,2006,3.80,Ki=160uM,True
3q2m,2.90,2011,3.80,Ki=159uM,True
3t09,1.75,2012,3.80,Ki=0.16mM,True
5uf0,1.35,2017,3.80,Ki=160uM,True
3ai8,2.11,2011,3.81,Ki=154.4uM,True
3g2h,2.03,2010,3.82,Ki=151.3uM,True
4keq,2.28,2014,3.82,Ki=150uM,True
2osf,1.60,2008,3.83,Ki=148uM,True
4ozo,2.60,2014,3.83,Ki=147uM,True
1j15,2.00,2002,3.84,Ki=143uM,True
1j16,1.60,2002,3.84,Ki=143uM,True
1n1t,1.60,2003,3.85,Ki=140uM,True
1n1v,2.10,2003,3.85,Ki=140uM,True
1vcu,2.85,2004,3.85,Ki=0.14mM,True
2wzs,2.25,2009,3.85,Ki=140uM,True
3mv0,2.20,2011,3.85,Ki=0.14mM,True
3wq5,1.80,2014,3.85,Ki=140uM,True
4ivk,1.80,2013,3.85,Ki=140uM,True
4kiu,2.40,2014,3.85,Ki=140uM,True
5dhp,2.27,2016,3.85,Ki=140uM,True
6czd,2.40,2018,3.85,Ki=0.14mM,True
6ovz,2.02,2019,3.85,Ki=140uM,True
3spf,1.70,2012,3.86,Ki=138uM,True
5oh9,1.65,2018,3.86,Ki=137uM,True
2y55,2.60,2011,3.87,Ki=134uM,True
3g2l,2.30,2010,3.87,Ki=135.9uM,True
3wjw,1.59,2013,3.87,Ki=134uM,True
5oh3,2.10,2018,3.87,Ki=136uM,True
3si4,1.27,2012,3.88,Ki=132.2uM,True
4mjp,1.85,2013,3.88,Ki=131uM,True
1m0q,2.00,2002,3.89,Ki=0.13mM,True
2ctc,1.40,1994,3.89,Ki=0.13mM,True
3iae,2.30,2010,3.89,Ki=0.13mM,True
3umo,1.70,2012,3.89,Ki=129uM,True
4ufk,2.40,2015,3.89,Ki=130uM,True
5iu6,2.51,2017,3.89,Ki=0.13mM,True
1exw,2.40,2000,3.90,Ki=125uM,True
2gvv,1.73,2006,3.90,Ki=125uM,True
2qw1,1.70,2008,3.90,Ki=125uM,True
2rkm,1.80,1997,3.90,Ki=125uM,True
2xpc,1.49,2011,3.90,Ki=125uM,True
3zj8,3.01,2014,3.90,Ki=127uM,True
3zvw,2.00,2012,3.90,Ki=125uM,True
4k5n,1.91,2013,3.90,Ki=127uM,True
4qgi,1.90,2014,3.90,Ki=125uM,True
6c85,2.40,2019,3.90,Ki=126uM,True
1kuk,1.45,2002,3.91,Ki=0.124mM,True
6d1b,1.25,2019,3.91,Ki=123.7uM,True
1pr5,2.50,2003,3.92,Ki=120uM,True
2l8r,NMR,2011,3.92,Ki=119.3uM,True
3twp,1.83,2012,3.92,Ki=119uM,True
6g9x,2.30,2019,3.92,Ki=120uM,True
6hzy,1.70,2019,3.92,Ki=121uM,True
1h5v,1.10,2002,3.93,Ki=117uM,True
2v3d,1.96,2007,3.94,Ki=116uM,True
3pp7,2.35,2010,3.94,Ki=115.6uM,True
5f5b,2.30,2016,3.95,Ki=113uM,True
6cbg,2.00,2018,3.95,Ki=113uM,True
1mrs,2.00,2003,3.96,Ki=110uM,True
2ad5,2.80,2005,3.96,Ki=110uM,True
2fpz,2.00,2006,3.96,Ki=110uM,True
2vi5,2.30,2008,3.96,Ki=110uM,True
2wec,1.50,1998,3.96,Ki=110uM,True
3gt9,1.70,2010,3.96,Ki=0.11mM,True
4gqr,1.20,2012,3.96,Ki=110uM,True
4joj,1.20,2014,3.96,Ki=110uM,True
1ai6,2.55,1997,3.97,Ki=0.107mM,True
